statistic,player,team,value,year
Batting Average,Luis Arraez,Minnesota Twins,.316,2022
Doubles,José Ramírez,Cleveland Guardians,44,2022
Hits,Bo Bichette,Toronto Blue Jays,189,2022
Home Runs,Aaron Judge,New York Yankees,62,2022
On Base Percentage,Aaron Judge,New York Yankees,.425,2022
RBI,Aaron Judge,New York Yankees,131,2022
Runs,Aaron Judge,New York Yankees,133,2022
Slugging Average,Aaron Judge,New York Yankees,.686,2022
Stolen Bases,Jorge Mateo,Baltimore Orioles,35,2022
Total Bases,Aaron Judge,New York Yankees,391,2022
Triples,Amed Rosario,Cleveland Guardians,9,2022
Statistic,Name,Team,#,2022
2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022
2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022 American League Pitcher Review ← 2021 | 2022 Pitching Statistics League Leaders | 2023 →,2022
Statistic,Name,Team,#,2022
Complete Games,Framber Valdez,Houston Astros,3,2022
ERA,Justin Verlander,Houston Astros,1.75,2022
Games,Adam Cimber,Toronto Blue Jays,77,2022
Games,Emmanuel Clase,Cleveland Guardians,77,2022
Saves,Emmanuel Clase,Cleveland Guardians,42,2022
Shutouts,Dylan Cease,Chicago White Sox,1,2022
Shutouts,Nestor Cortes,New York Yankees,1,2022
Shutouts,Reid Detmers,Los Angeles Angels,1,2022
Shutouts,Nathan Eovaldi,Boston Red Sox,1,2022
Shutouts,Dean Kremer,Baltimore Orioles,1,2022
Shutouts,Martín Pérez,Texas Rangers,1,2022
Shutouts,Patrick Sandoval,Los Angeles Angels,1,2022
Shutouts,Framber Valdez,Houston Astros,1,2022
Shutouts,Michael Wacha,Boston Red Sox,1,2022
Strikeouts,Corbin Burnes,Milwaukee Brewers,243,2022
Winning Percentage,Justin Verlander,Houston Astros,.818,2022
Wins,Justin Verlander,Houston Astros,18,2022
Statistic,Name,Team,#,2022
2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022 A.L. History | 2022 N.L. History | Year-by-Year History,2022
2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022 American League Team Standings2022 All-Star Game | 2022 Team Standings | 2022 World Series,2022
East,Team | Roster,W,L,2022
East,New York Yankees,99,63,2022
East,Toronto Blue Jays,92,70,2022
East,Tampa Bay Rays,86,76,2022
East,Baltimore Orioles,83,79,2022
East,Boston Red Sox,78,84,2022
Central,Team | Roster,W,L,2022
Central,Cleveland Guardians,92,70,2022
Central,Chicago White Sox,81,81,2022
Central,Minnesota Twins,78,84,2022
Central,Detroit Tigers,66,96,2022
Central,Kansas City Royals,65,97,2022
West,Team | Roster,W,L,2022
West,Houston Astros,106,56,2022
West,Seattle Mariners,90,72,2022
West,Los Angeles Angels,73,89,2022
West,Texas Rangers,68,94,2022
West,Oakland Athletics,60,102,2022
A.L.,Team | Roster,W,L,2022
2022 American League Standings,2022 American League Standings,2022 American League Standings,2022 American League Standings,2022
2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023 American League Player Review ← 2022 | 2023 Hitting Statistics League Leaders | 2024 →,2023
Statistic,Name,Team,#,2023
Base on Balls,J.P. Crawford,Seattle Mariners,94,2023
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,2023
Doubles,Corey Seager,Texas Rangers,42,2023
Hits,Marcus Semien,Texas Rangers,185,2023
Home Runs,Shohei Ohtani,Los Angeles Angels,44,2023
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,2023
RBI,Kyle Tucker,Houston Astros,112,2023
Runs,Marcus Semien,Texas Rangers,122,2023
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,2023
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,2023
Total Bases,Shohei Ohtani,Los Angeles Angels,325,2023
Triples,Bobby Witt Jr.,Kansas City Royals,11,2023
Statistic,Name,Team,#,2023
2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023
2023 American League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 American League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 American League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023 American League Pitcher Review ← 2022 | 2023 Pitching Statistics League Leaders | 2024 →,2023
Statistic,Name,Team,#,2023
Complete Games,Jordan Lyles,Kansas City Royals,3,2023
ERA,Gerrit Cole,New York Yankees,2.63,2023
Games,Matt Brash,Seattle Mariners,78,2023
Saves,Emmanuel Clase,Cleveland Guardians,44,2023
Shutouts,Gerrit Cole,New York Yankees,2,2023
Shutouts,Framber Valdez,Houston Astros,2,2023
Strikeouts,Kevin Gausman,Toronto Blue Jays,237,2023
Winning Percentage,Gerrit Cole,New York Yankees,.789,2023
Wins,Chris Bassitt,Toronto Blue Jays,16,2023
Wins,Zach Eflin,Tampa Bay Rays,16,2023
Statistic,Name,Team,#,2023
2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023 A.L. History | 2023 N.L. History | Year-by-Year History,2023
2023 American League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 American League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 American League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023 American League Team Standings2023 All-Star Game | 2023 Team Standings | 2023 World Series,2023
East,Team | Roster,W,L,2023
East,Baltimore Orioles,101,61,2023
East,Tampa Bay Rays,99,63,2023
East,Toronto Blue Jays,89,73,2023
East,New York Yankees,82,80,2023
East,Boston Red Sox,78,84,2023
Central,Team | Roster,W,L,2023
Central,Minnesota Twins,87,75,2023
Central,Detroit Tigers,78,84,2023
Central,Cleveland Guardians,76,86,2023
Central,Chicago White Sox,61,101,2023
Central,Kansas City Royals,56,106,2023
West,Team | Roster,W,L,2023
West,Houston Astros,90,72,2023
West,Texas Rangers,90,72,2023
West,Seattle Mariners,88,74,2023
West,Los Angeles Angels,73,89,2023
West,Oakland Athletics,50,112,2023
A.L.,Team | Roster,W,L,2023
2023 American League Standings,2023 American League Standings,2023 American League Standings,2023 American League Standings,2023
2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024 American League Player Review ← 2023 | 2024 Hitting Statistics League Leaders | 2025 →,2024
Statistic,Name,Team,#,2024
Base on Balls,Aaron Judge,New York,133,2024
Batting Average,Bobby Witt Jr.,Kansas City,.332,2024
Doubles,Jarren Duran,Boston,48,2024
Hits,Bobby Witt Jr.,Kansas City,211,2024
Home Runs,Aaron Judge,New York,58,2024
On Base Percentage,Aaron Judge,New York,.458,2024
RBI,Aaron Judge,New York,144,2024
Runs,Juan Soto,New York,128,2024
Slugging Average,Aaron Judge,New York,.701,2024
Stolen Bases,Jose Caballero,Tampa Bay,44,2024
Total Bases,Aaron Judge,New York,392,2024
Triples,Jarren Duran,Boston,14,2024
Statistic,Name,Team,#,2024
2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024
2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024
Statistic,Name,Team,#,2024
Complete Games,Kevin Gausman,Toronto,2,2024
ERA,Tarik Skubal,Detroit,2.39,2024
Games,T.J. McFarland,Oakland,79,2024
Saves,Emmanuel Clase,Cleveland,47,2024
Shutouts,Ronel Blanco,Houston,1,2024
Shutouts,Joey Estes,Oakland,1,2024
Shutouts,Kevin Gausman,Toronto,1,2024
Shutouts,Tanner Houck,Boston,1,2024
Shutouts,Keider Montero,Detroit,1,2024
Strikeouts,Tarik Skubal,Detroit,228,2024
Winning Percentage,Tarik Skubal,Detroit,.818,2024
Wins,Tarik Skubal,Detroit,18,2024
Statistic,Name,Team,#,2024
2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024
2024 American League Team Standings2024 All-Star Game | 2024 Team Standings | 2024 World Series,2024 American League Team Standings2024 All-Star Game | 2024 Team Standings | 2024 World Series,2024 American League Team Standings2024 All-Star Game | 2024 Team Standings | 2024 World Series,2024 American League Team Standings2024 All-Star Game | 2024 Team Standings | 2024 World Series,2024
East,Team | Roster,W,L,2024
East,New York Yankees,94,68,2024
East,Baltimore Orioles,91,71,2024
East,Boston Red Sox,81,81,2024
East,Tampa Bay Rays,80,82,2024
East,Toronto Blue Jays,74,88,2024
Central,Team | Roster,W,L,2024
Central,Cleveland Guardians,92,69,2024
Central,Kansas City Royals,86,76,2024
Central,Detroit Tigers,86,76,2024
Central,Minnesota Twins,82,80,2024
Central,Chicago White Sox,41,121,2024
West,Team | Roster,W,L,2024
West,Houston Astros,88,73,2024
West,Seattle Mariners,85,77,2024
West,Texas Rangers,78,84,2024
West,Oakland Athletics,69,93,2024
West,Los Angeles Angels,63,99,2024
A.L.,Team | Roster,W,L,2024
2024 American League Standings,2024 American League Standings,2024 American League Standings,2024 American League Standings,2024
2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025 American League Player Review ← 2024 | 2025 Hitting Statistics League Leaders | 2026 →,2025
Statistic,Name,Team,#,2025
Base on Balls,Aaron Judge,New York,124,2025
Batting Average,Aaron Judge,New York,.331,2025
Doubles,Bobby Witt Jr.,Kansas City,47,2025
Hits,Bobby Witt Jr.,Kansas City,184,2025
Home Runs,Cal Raleigh,Seattle,60,2025
On Base Percentage,Aaron Judge,New York,.457,2025
RBI,Cal Raleigh,Seattle,125,2025
Runs,Aaron Judge,New York,137,2025
Slugging Average,Aaron Judge,New York,.688,2025
Stolen Bases,José Caballero,Tampa Bay (34),49,2025
Stolen Bases,José Caballero,New York (15),49,2025
Total Bases,Aaron Judge,New York,372,2025
Triples,Jarren Duran,Boston,13,2025
Statistic,Name,Team,#,2025
2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025
2025 American League Pitcher Review ← 2024 | 2025 Pitching Statistics League Leaders | 2026 →,2025 American League Pitcher Review ← 2024 | 2025 Pitching Statistics League Leaders | 2026 →,2025 American League Pitcher Review ← 2024 | 2025 Pitching Statistics League Leaders | 2026 →,2025 American League Pitcher Review ← 2024 | 2025 Pitching Statistics League Leaders | 2026 →,2025
Statistic,Name,Team,#,2025
Complete Games,Tanner Bibee,Cleveland,2,2025
Complete Games,Framber Valdez,Houston,2,2025
ERA,Tarik Skubal,Detroit,2.21,2025
Games,Brendon Little,Toronto,79,2025
Saves,Carlos Estévez,Kansas City,42,2025
Shutouts,Tanner Bibee,Cleveland,1,2025
Shutouts,Garrett Crochet,Boston,1,2025
Shutouts,Nathan Eovaldi,Texas,1,2025
Shutouts,Kevin Gausman,Toronto,1,2025
Shutouts,Tarik Skubal,Detroit,1,2025
Strikeouts,Garrett Crochet,Boston,255,2025
Winning Percentage,Max Fried,New York,.792,2025
Wins,Max Fried,New York,19,2025
Statistic,Name,Team,#,2025
2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025 A.L. History | 2025 N.L. History | Year-by-Year History,2025
2025 American League Team Standings2025 All-Star Game | 2025 Team Standings | 2025 World Series,2025 American League Team Standings2025 All-Star Game | 2025 Team Standings | 2025 World Series,2025 American League Team Standings2025 All-Star Game | 2025 Team Standings | 2025 World Series,2025 American League Team Standings2025 All-Star Game | 2025 Team Standings | 2025 World Series,2025
East,Team | Roster,W,L,2025
East,Toronto Blue Jays,94,68,2025
East,New York Yankees wc,94,68,2025
East,Boston Red Sox wc,89,73,2025
East,Tampa Bay Rays,77,85,2025
East,Baltimore Orioles,75,87,2025
Central,Team | Roster,W,L,2025
Central,Cleveland Guardians,88,74,2025
Central,Detroit Tigers wc,87,75,2025
Central,Kansas City Royals,82,80,2025
Central,Minnesota Twins,70,92,2025
Central,Chicago White Sox,60,102,2025
West,Team | Roster,W,L,2025
West,Seattle Mariners,90,72,2025
West,Houston Astros,87,75,2025
West,Texas Rangers,81,81,2025
West,Sacramento Athletics,76,86,2025
West,Los Angeles Angels,72,90,2025
A.L.,Team | Roster,W,L,2025
2025 American League Standings,2025 American League Standings,2025 American League Standings,2025 American League Standings,2025
